sl_no,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status,contract_code,SCPType,beneficialOwner,biddingProcess,bolpatraId1,bolpatraId2,bolpatraId3,contractAddress,contractDate,contractType,contractorCountry1,contractorCountry2,contractorCountry3,contractorGenericName,contractorName1,contractorName2,contractorName3,contractorType,deliveryDate,dlpEndDate,dlpStartDate,donorParty,endOrCompleteDate,estimatedCost,fiscalYear,grantLoanNo,ifbNo,isSCP,outstandingValue,percentageOfCompletion,postValidationDate,projectDescription,publicEntity,publicEntityName,sharedPercentage1,sharedPercentage2,sharedPercentage3,sourceOfFund,startDate,totalPayment,vat_no1,vat_no2,vat_no3,warrantyPeriod,contract_id
1,LALJHADI RURAL MUNICIPALITY,Construction of Shankarpur Hospital Building,60502650.12,Works,NCB,In-Progress,LAL-14-2077/078,,,Only e-Bid,,,,"Parshuram Municipality Jogbudha, Dadeldhura Dhangadhi 4, Kailali",07-06-2021,Unit rate contract,Nepal,Nepal,Nepal,Rajendra-Rudrawati-Siddhanath JV,Rajendra Nirman Sewa Pvt. Ltd.,Rudrawati Nirman Sewa,Siddhanath Construction,Joint Venture,,07-07-2024,06-07-2023,,06-07-2023,100000000.0,2077/78,,LAL-14-2077/078,No,17000000.0,40,,"construction of RCC
Framed Hospital Building",1341,LALJHADI RURAL MUNICIPALITY,40,30,30,--Select source of Fund --,07-06-2021,17000000.0,301250032,300130805.0,300132335.0,0,LAL-14-2077/078
2,Bharatpur Metropolitian City Office,"Road Construction at different wards of Bharatpur Metropolitan City (Ward 11,12,15,16,23)",35000000.0,Works,NCB,Completed,30-BMC/2078/079/W/NCB/88,,,Only e-Bid,,,,"Bharatpur-9,Chitwan",10-05-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Om Satya Sai Construction (P).Ltd.,Om Satya Sai Construction (P).Ltd.,,,Single,,,,,02-10-2022,45000000.0,2078/79,,30-BMC/2078/079/W/NCB/88,No,0.0,100,,"Road Construction at different wards of Bharatpur Metropolitan City (Ward 11,12,15,16,23)",887,Bharatpur Metropolitian City Office,100,,,Internal Resource,15-05-2022,1600000.0,605970487,,,0,30-BMC/2078/079/W/NCB/88
3,Bharatpur Metropolitian City Office,"Blacktopped Road Construction from Mitralal Adhikari's House to Indrachowk, BMC-16",4501900.14,Works,NCB,Completed,42-BMC/2078/079/W/NCB/123,,,Only e-Bid,,,,"Baneswor, Kathmandu",20-07-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Yubina Construction & Suppliers Pvt.Ltd.,Yubina Construction & Suppliers Pvt.Ltd.,,,Single,,,,,19-12-2022,5001357.25,2078/79,,42-BMC/2078/079/W/NCB/123,No,0.0,100,,Blacktopping of Road,887,Bharatpur Metropolitian City Office,100,,,Internal Resource,20-07-2022,0.0,302695005,,,0,42-BMC/2078/079/W/NCB/123
4,Infrastructure Development Office Chitwan,Construction/Upgrading works Under Package-05,3657654.18,Works,NCB,In-Progress,IDO/CHT/W/NCB/05/078-79,,,Only e-Bid,,,,"Khairahani-03, Chitwan",26-11-2021,Unit rate contract,Nepal,--Select Country--,--Select Country--,Kusum and Construction,Kusum and Construction,,,Single,,,,,,4498349.61,2078/79,,IDO/CHT/W/NCB/05/078-79,No,3657654.18,0,,Construction/Upgrading works Under Package-05,1843,Infrastructure Development Office Chitwan,100,,,Goverment,,0.0,602253303,,,0,IDO/CHT/W/NCB/05/078-79
5,Infrastructure Development Office Chitwan,Construction/Upgrading works of  Pandechowk - Manakamana Chowk - Simara Road,2053840.4,Works,NCB,In-Progress,IDO/CHT/W/NCB/07/078-79,,,Only e-Bid,,,,"Khairahani-03, Chitwan",26-11-2021,Unit rate contract,Nepal,--Select Country--,--Select Country--,Kusum and Construction,Kusum and Construction,,,Single,,,,,,2996417.84,2078/79,,IDO/CHT/W/NCB/07/078-79,No,2053840.4,0,,"Construction/Upgrading works of  Pandechowk - Manakamana Chowk - Simara Road, Rapti-01, Chitwan",1843,Infrastructure Development Office Chitwan,100,,,Goverment,,0.0,602253303,,,0,IDO/CHT/W/NCB/07/078-79
6,Infrastructure Development Office Chitwan,Construction/Upgrading works Under Package-08,2640321.83,Works,NCB,In-Progress,IDO/CHT/W/NCB/08/078-79,,,Only e-Bid,,,,"Khairahani-03, Chitwan",26-11-2021,Unit rate contract,Nepal,--Select Country--,--Select Country--,Kusum and Construction,Kusum and Construction,,,Single,,,,,29-05-2022,3998166.34,2078/79,,IDO/CHT/W/NCB/08/078-79,No,2640321.83,0,,"Construction/Upgrading works Under Package-08, Rapti - 6 & 7",1843,Infrastructure Development Office Chitwan,100,,,--Select source of Fund --,26-11-2021,0.0,602253303,,,0,IDO/CHT/W/NCB/08/078-79
7,Infrastructure Development Office Chitwan,Construction/Upgrading works of  Bramhanagar Derichowk - Panisaradhap Road,1381012.3,Works,NCB,In-Progress,IDO/CHT/W/NCB/09/078-79,,,Only e-Bid,,,,"Khairahani-03, Chitwan",26-11-2021,Unit rate contract,Nepal,--Select Country--,--Select Country--,Kusum and Construction,Kusum and Construction,,,Single,,,,,29-05-2022,2072275.21,2078/79,,IDO/CHT/W/NCB/09/078-79,No,1381012.3,0,,"Construction/Upgrading works of  Bramhanagar Derichowk - Panisaradhap Road, Rapti-09",1843,Infrastructure Development Office Chitwan,100,,,Goverment,26-11-2021,0.0,602253303,,,0,IDO/CHT/W/NCB/09/078-79
8,Infrastructure Development Office Chitwan,Construction/Upgrading of Derichowk Purva Keshav Pathak Chowk Road,1725372.6,Works,NCB,In-Progress,IDO/CHT/W/NCB/78/078-79,,,Only e-Bid,,,,"Khairahani-03, Chitwan",14-02-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Kusum and Construction,Kusum and Construction,,,Single,,,,,13-06-2022,2500437.82,2078/79,,IDO/CHT/W/NCB/78/078-79,No,1725372.6,0,,"Construction/Upgrading of Derichowk Purva Keshav Pathak Chowk Road, Khairahani-12, Chitwan",1843,Infrastructure Development Office Chitwan,100,,,Goverment,14-02-2022,0.0,602253303,,,0,IDO/CHT/W/NCB/78/078-79
9,Infrastructure Development Office Chitwan,"Construction/Upgrading of Sultana to Majui Road,",1731645.8,Works,NCB,In-Progress,IDO/CHT/W/NCB/79/078-79,,,Only e-Bid,,,,"Khairahani-03, Chitwan",14-02-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Kusum and Construction,Kusum and Construction,,,Single,,,,,13-06-2022,2498339.9,2078/79,,IDO/CHT/W/NCB/79/078-79,No,1731645.8,0,,"Construction/Upgrading of Sultana to Majui Road, Khairahani-6, Chitwan",1843,Infrastructure Development Office Chitwan,100,,,Goverment,14-02-2022,0.0,602253303,,,0,IDO/CHT/W/NCB/79/078-79
10,Punarbas Municipality Office,"Ansubarmabasti plot no -19  to kalika mandir, Plot no 24 to mahendrabasti , 6no plot to  19 no plot Road maintinance , Ward no 1",1206388.0,Works,Sealed Quotation,Completed,PUN/MUN/078/079-28,Others,,Only e-Bid,PUN/MUN/078/079-28,,,"punarbas,02-Kanchanpur",07-07-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Daut Nirman Sewa,Daut Nirman Sewa,,,Single,,17-08-2023,17-07-2022,,16-07-2022,1573501.0,2078/79,,PUN/MUN/078/079-28,Yes,0.0,100,,"Ansubarmabasti plot no -19  to kalika mandir, Plot no 24 to mahendrabasti , 6no plot to  19 no plot Road maintinance , Ward no 1",1880,Punarbas Municipality Office,100,,,Goverment,07-07-2022,1206388.0,304182866,,,0,PUN/MUN/078/079-28
