contractRecordsTO.SCPType,contractRecordsTO.beneficialOwner,contractRecordsTO.biddingProcess,contractRecordsTO.bolpatraId1,contractRecordsTO.bolpatraId2,contractRecordsTO.bolpatraId3,contractRecordsTO.contractAddress,contractRecordsTO.contractAmount,contractRecordsTO.contractDate,contractRecordsTO.contractId,contractRecordsTO.contractName,contractRecordsTO.contractStatus,contractRecordsTO.contractType,contractRecordsTO.contractorCountry1,contractRecordsTO.contractorCountry2,contractRecordsTO.contractorCountry3,contractRecordsTO.contractorGenericName,contractRecordsTO.contractorName1,contractRecordsTO.contractorName2,contractRecordsTO.contractorName3,contractRecordsTO.contractorType,contractRecordsTO.deliveryDate,contractRecordsTO.dlpEndDate,contractRecordsTO.dlpStartDate,contractRecordsTO.donorParty,contractRecordsTO.endOrCompleteDate,contractRecordsTO.estimatedCost,contractRecordsTO.fiscalYear,contractRecordsTO.grantLoanNo,contractRecordsTO.ifbNo,contractRecordsTO.isSCP,contractRecordsTO.outstandingValue,contractRecordsTO.percentageOfCompletion,contractRecordsTO.postValidationDate,contractRecordsTO.procurementCategoryId,contractRecordsTO.procurementMethodId,contractRecordsTO.projectDescription,contractRecordsTO.publicEntity,contractRecordsTO.publicEntityName,contractRecordsTO.sharedPercentage1,contractRecordsTO.sharedPercentage2,contractRecordsTO.sharedPercentage3,contractRecordsTO.sourceOfFund,contractRecordsTO.startDate,contractRecordsTO.totalPayment,contractRecordsTO.vat_no1,contractRecordsTO.vat_no2,contractRecordsTO.vat_no3,contractRecordsTO.warrantyPeriod,contract_id
,,Only e-Bid,,,,"Parshuram Municipality Jogbudha, Dadeldhura Dhangadhi 4, Kailali",60502650.12,07-06-2021,LAL-14-2077/078,Construction of Shankarpur Hospital Building,In-Progress,Unit rate contract,Nepal,Nepal,Nepal,Rajendra-Rudrawati-Siddhanath JV,Rajendra Nirman Sewa Pvt. Ltd.,Rudrawati Nirman Sewa,Siddhanath Construction,Joint Venture,,07-07-2024,06-07-2023,,06-07-2023,100000000.00,2077/78,,LAL-14-2077/078,No,17000000.00,40,,Works,NCB,"construction of RCC
Framed Hospital Building",1341,LALJHADI RURAL MUNICIPALITY,40,30,30,--Select source of Fund --,07-06-2021,17000000.00,301250032,300130805,300132335,0,LAL-14-2077/078
,,Only e-Bid,,,,"Bharatpur-9,Chitwan",35000000.00,10-05-2022,30-BMC/2078/079/W/NCB/88,"Road Construction at different wards of Bharatpur Metropolitan City (Ward 11,12,15,16,23)",Completed,Unit rate contract,Nepal,--Select Country--,--Select Country--,Om Satya Sai Construction (P).Ltd.,Om Satya Sai Construction (P).Ltd.,,,Single,,,,,02-10-2022,45000000.00,2078/79,,30-BMC/2078/079/W/NCB/88,No,0.00,100,,Works,NCB,"Road Construction at different wards of Bharatpur Metropolitan City (Ward 11,12,15,16,23)",887,Bharatpur Metropolitian City Office,100,,,Internal Resource,15-05-2022,1600000.00,605970487,,,0,30-BMC/2078/079/W/NCB/88
,,Only e-Bid,,,,"Baneswor, Kathmandu",4501900.14,20-07-2022,42-BMC/2078/079/W/NCB/123,"Blacktopped Road Construction from Mitralal Adhikari's House to Indrachowk, BMC-16",Completed,Unit rate contract,Nepal,--Select Country--,--Select Country--,Yubina Construction & Suppliers Pvt.Ltd.,Yubina Construction & Suppliers Pvt.Ltd.,,,Single,,,,,19-12-2022,5001357.25,2078/79,,42-BMC/2078/079/W/NCB/123,No,0.00,100,,Works,NCB,Blacktopping of Road,887,Bharatpur Metropolitian City Office,100,,,Internal Resource,20-07-2022,0.00,302695005,,,0,42-BMC/2078/079/W/NCB/123
,,Only e-Bid,,,,"Khairahani-03, Chitwan",3657654.18,26-11-2021,IDO/CHT/W/NCB/05/078-79,Construction/Upgrading works Under Package-05,In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,Kusum and Construction,Kusum and Construction,,,Single,,,,,,4498349.61,2078/79,,IDO/CHT/W/NCB/05/078-79,No,3657654.18,0,,Works,NCB,Construction/Upgrading works Under Package-05,1843,Infrastructure Development Office Chitwan,100,,,Goverment,,0.00,602253303,,,0,IDO/CHT/W/NCB/05/078-79
,,Only e-Bid,,,,"Khairahani-03, Chitwan",2053840.40,26-11-2021,IDO/CHT/W/NCB/07/078-79,Construction/Upgrading works of  Pandechowk - Manakamana Chowk - Simara Road,In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,Kusum and Construction,Kusum and Construction,,,Single,,,,,,2996417.84,2078/79,,IDO/CHT/W/NCB/07/078-79,No,2053840.40,0,,Works,NCB,"Construction/Upgrading works of  Pandechowk - Manakamana Chowk - Simara Road, Rapti-01, Chitwan",1843,Infrastructure Development Office Chitwan,100,,,Goverment,,0.00,602253303,,,0,IDO/CHT/W/NCB/07/078-79
,,Only e-Bid,,,,"Khairahani-03, Chitwan",2640321.83,26-11-2021,IDO/CHT/W/NCB/08/078-79,Construction/Upgrading works Under Package-08,In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,Kusum and Construction,Kusum and Construction,,,Single,,,,,29-05-2022,3998166.34,2078/79,,IDO/CHT/W/NCB/08/078-79,No,2640321.83,0,,Works,NCB,"Construction/Upgrading works Under Package-08, Rapti - 6 & 7",1843,Infrastructure Development Office Chitwan,100,,,--Select source of Fund --,26-11-2021,0.00,602253303,,,0,IDO/CHT/W/NCB/08/078-79
,,Only e-Bid,,,,"Khairahani-03, Chitwan",1381012.30,26-11-2021,IDO/CHT/W/NCB/09/078-79,Construction/Upgrading works of  Bramhanagar Derichowk - Panisaradhap Road,In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,Kusum and Construction,Kusum and Construction,,,Single,,,,,29-05-2022,2072275.21,2078/79,,IDO/CHT/W/NCB/09/078-79,No,1381012.30,0,,Works,NCB,"Construction/Upgrading works of  Bramhanagar Derichowk - Panisaradhap Road, Rapti-09",1843,Infrastructure Development Office Chitwan,100,,,Goverment,26-11-2021,0.00,602253303,,,0,IDO/CHT/W/NCB/09/078-79
,,Only e-Bid,,,,"Khairahani-03, Chitwan",1725372.60,14-02-2022,IDO/CHT/W/NCB/78/078-79,Construction/Upgrading of Derichowk Purva Keshav Pathak Chowk Road,In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,Kusum and Construction,Kusum and Construction,,,Single,,,,,13-06-2022,2500437.82,2078/79,,IDO/CHT/W/NCB/78/078-79,No,1725372.60,0,,Works,NCB,"Construction/Upgrading of Derichowk Purva Keshav Pathak Chowk Road, Khairahani-12, Chitwan",1843,Infrastructure Development Office Chitwan,100,,,Goverment,14-02-2022,0.00,602253303,,,0,IDO/CHT/W/NCB/78/078-79
,,Only e-Bid,,,,"Khairahani-03, Chitwan",1731645.80,14-02-2022,IDO/CHT/W/NCB/79/078-79,"Construction/Upgrading of Sultana to Majui Road,",In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,Kusum and Construction,Kusum and Construction,,,Single,,,,,13-06-2022,2498339.90,2078/79,,IDO/CHT/W/NCB/79/078-79,No,1731645.80,0,,Works,NCB,"Construction/Upgrading of Sultana to Majui Road, Khairahani-6, Chitwan",1843,Infrastructure Development Office Chitwan,100,,,Goverment,14-02-2022,0.00,602253303,,,0,IDO/CHT/W/NCB/79/078-79
Others,,Only e-Bid,PUN/MUN/078/079-28,,,"punarbas,02-Kanchanpur",1206388.00,07-07-2022,PUN/MUN/078/079-28,"Ansubarmabasti plot no -19  to kalika mandir, Plot no 24 to mahendrabasti , 6no plot to  19 no plot Road maintinance , Ward no 1",Completed,Unit rate contract,Nepal,--Select Country--,--Select Country--,Daut Nirman Sewa,Daut Nirman Sewa,,,Single,,17-08-2023,17-07-2022,,16-07-2022,1573501.00,2078/79,,PUN/MUN/078/079-28,Yes,0.00,100,,Works,Sealed Quotation,"Ansubarmabasti plot no -19  to kalika mandir, Plot no 24 to mahendrabasti , 6no plot to  19 no plot Road maintinance , Ward no 1",1880,Punarbas Municipality Office,100,,,Goverment,07-07-2022,1206388.00,304182866,,,0,PUN/MUN/078/079-28
,,Only e-Bid,,,,"Khairahani-03, Chitwan",1767988.71,14-02-2022,IDO/CHT/W/NCB/81/078-79,Construction/Upgrading works from Chhatra Subedi Home to South Kul Prasad Bhusal Home to South,In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,Kusum and Construction,Kusum and Construction,,,Single,,,,,13-06-2022,2504132.88,2078/79,,IDO/CHT/W/NCB/81/078-79,No,1767988.71,0,,Works,NCB,"Construction/Upgrading works from Chhatra Subedi Home to South Kul Prasad Bhusal Home to South Khairahani -5 & 13, Chitwan",1843,Infrastructure Development Office Chitwan,100,,,Goverment,14-02-2022,0.00,602253303,,,0,IDO/CHT/W/NCB/81/078-79
,,Only e-Bid,,,,"Khairahani-03, Chitwan",1708379.10,14-02-2022,IDO/CHT/W/NCB/80/078-79,Construction/Upgrading works from Dinesh Pudasaini Home to Goma Bhujel home to Rapti Dyke,In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,Kusum and Construction,Kusum and Construction,,,Single,,,,,13-06-2022,2496859.48,2078/79,,IDO/CHT/W/NCB/80/078-79,No,1708379.10,0,,Works,NCB,"Construction/Upgrading works from Dinesh Pudasaini Home to Goma Bhujel home to Rapti Dyke, Khairahani-11, Chitwan",1843,Infrastructure Development Office Chitwan,100,,,Goverment,14-02-2022,0.00,602253303,,,0,IDO/CHT/W/NCB/80/078-79
,,Only e-Bid,PUN/MUN/078/079-29,,,"Krishnapur,2,Kanchanpur",1405946.00,14-07-2022,PUN/MUN/078/079-29,Rastriya Adharbhut School to Khet jane sadak  ward no  7,In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,Girspa Construction,Girspa Construction,,,Single,,17-11-2023,17-10-2022,,16-10-2022,1580295.00,2078/79,,PUN/MUN/078/079-29,No,0.00,0,,Works,Sealed Quotation,Rastriya Adharbhut School to Khet jane sadak  ward no  7,1880,Punarbas Municipality Office,100,,,Goverment,14-07-2022,0.00,612840775,,,0,PUN/MUN/078/079-29
,,Only e-Bid,,,,"Neelkantha-3, Dhading",4929183.94,29-11-2021,IDO/CHT/W/NCB/62/078-79,Construction/Upgrading works of Jalbire - Yakrang - Chanaute Dhungre Road,In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,Jaleshwor Nirman Sewa,Jaleshwor Nirman Sewa,,,Single,,,,,,7497065.51,2078/79,,IDO/CHT/W/NCB/62/078-79,No,4929183.94,0,,Works,NCB,"Construction/Upgrading works of Jalbire - Yakrang - Chanaute Dhungre Road, Ichhchakamana Rural Muncipality - 6, Chitwan",1843,Infrastructure Development Office Chitwan,100,,,Goverment,29-11-2021,0.00,300929115,,,0,IDO/CHT/W/NCB/62/078-79
,,Only e-Bid,PUN/MUN/078/079-30,,,"Bhimdutta -6,Kanchanpur",1373797.05,14-07-2022,PUN/MUN/078/079-30,Sitabasti Khagaun kirtipur - masanghat  Road Maintinance ward no 9,In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,Pankaj Construction,Pankaj Construction,,,Single,,17-11-2023,17-10-2022,,16-10-2022,1573501.00,2078/79,,PUN/MUN/078/079-30,No,0.00,0,,Works,Sealed Quotation,Sitabasti Khagaun kirtipur - masanghat  Road Maintinance ward no 9,1880,Punarbas Municipality Office,100,,,Goverment,14-07-2022,0.00,302527290,,,0,PUN/MUN/078/079-30
,,Only e-Bid,PUN/MUN/078/079-31,,,"punarbas,02-Kanchanpur",1218127.57,07-07-2022,PUN/MUN/078/079-31,Medical Tol Road maintinance Ward no 10,Completed,Unit rate contract,Nepal,--Select Country--,--Select Country--,Daut Nirman Sewa,Daut Nirman Sewa,,,Single,,17-07-2023,17-07-2022,,16-07-2022,1580295.00,2078/79,,PUN/MUN/078/079-31,No,0.00,100,,Works,Sealed Quotation,Medical Tol Road maintinance Ward no 10,1880,Punarbas Municipality Office,100,,,Goverment,07-07-2022,1218127.57,304182866,,,0,PUN/MUN/078/079-31
,,Only e-Bid,TB/PUN/MUN/078/079-26,,,"Butuwal-10,Rupandehi",3070984.00,30-06-2022,TB/PUN/MUN/078/079-26,Procurement of Fabricated Steel Parts for Kursha Nala-09 and Lamaiya Nala-10 Trail Bridge,In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,Lumbini Engineering Works Pvt Ltd,Lumbini Engineering Works Pvt Ltd,,,Single,,18-10-2023,19-10-2022,,18-10-2022,307510.00,2078/79,,TB/PUN/MUN/078/079-26,No,0.00,0,,Works,NCB,Procurement of Fabricated Steel Parts for Kursha Nala-09 and Lamaiya Nala-10 Trail Bridge,1880,Punarbas Municipality Office,100,,,Goverment,30-06-2022,0.00,305662961,,,0,TB/PUN/MUN/078/079-26
,,Only e-Bid,,,,"Bharatpur, Chitwan",34532621.21,16-01-2022,IDO/CHT/W/NCB/63/078-79,Jagatpur-Parbatipur-mildada-Rampur-Gautambuddha Rangasala-Sibhaghat Road (Parbatipur-Mildada Section),Completed,Unit rate contract,Nepal,--Select Country--,--Select Country--,Om Satya Sai Construction Pvt. Ltd.,Om Satya Sai Construction Pvt. Ltd.,,,Single,,,,,05-07-2023,49657482.25,2078/79,,IDO/CHT/W/NCB/63/078-79,No,0.00,100,,Works,NCB,"Jagatpur-Parbatipur-mildada-Rampur-Gautambuddha Rangasala-Sibhaghat
Road (Parbatipur-Mildada Section)",1843,Infrastructure Development Office Chitwan,100,,,Goverment,,32155683.31,609586491,,,0,IDO/CHT/W/NCB/63/078-79
,,Only e-Bid,,,,Kathmandu 32,8982741.58,22-02-2022,23/KRM/BUILDING/2078/079,"Construction of ward office building, ward no. 2",In-Progress,Unit rate contract,Nepal,Nepal,--Select Country--,Basanta Budhathoki/Sher Bahadur shrestha,Ansubi Construction Pvt. Ltd,Kankai Babai Nirman Sewa,,Joint Venture,,29-03-2024,28-02-2023,,27-02-2023,12314780.14,,,23/KRM/BUILDING/2078/079,No,0.00,0,,Works,NCB,Ward office building construction works,1728,Kamal Rural Municipality,60,40,,Internal Resource,22-02-2022,0.00,609662261,605970487,,0,23/KRM/BUILDING/2078/079
,,Only e-Bid,,,,"Khairahani-4, Chitwan",1268262.08,26-11-2021,IDO/CHT/W/NCB/06/078-79,"Construction/Upgrading works of Kari Chaudhary's Home to Kathepul and Marala Chaudhary, Lamichhane home to Khola Road",In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,R.S. Nirman Sewa,R.S. Nirman Sewa,,,Single,,,,,29-05-2022,2070681.23,2078/79,,IDO/CHT/W/NCB/06/078-79,No,1268262.08,0,,Works,NCB,"Construction/Upgrading works of Kari Chaudhary's Home to Kathepul and Marala Chaudhary, Lamichhane home to Khola Road, Khaireni 08, Chitwan",1843,Infrastructure Development Office Chitwan,100,,,Goverment,26-11-2021,0.00,302392306,,,0,IDO/CHT/W/NCB/06/078-79
,,Only e-Bid,,,,"Phidim-1 , Pancthar",17514779.75,16-06-2020,UDBO/ILAM/W/NCB/06/076-077,"Construction of Community Building Miklajung-5, Pancthar",Completed,Unit rate contract,Nepal,--Select Country--,--Select Country--,Ale Nirman Sewa Pvt Ltd,??? ??????? ???? ????.??.,,,Single,,15-06-2023,15-06-2022,,15-06-2022,21707672.87,,,UDBO/ILAM/W/NCB/06/076-077,No,0.00,100,,Works,NCB,Construction of Community Building Miklajung 5 pancthar RCC building construction,1846,"Urban Development and Building Office, Ilam",100,,,Goverment,16-06-2020,16379177.17,606895536,,,0,UDBO/ILAM/W/NCB/06/076-077
