contract_id,contract_name,publicEntityName,contract_amount,estimatedCost,procurement_method,contractorName1,contractDate,endOrCompleteDate,status,percentageOfCompletion,cost_variance_pct,bidder_count,contract_duration_days,payment_discrepancy,is_red_flag_entity,is_blacklisted_contractor,actual_payment_made
C-2025-001,Supply of Computers & Networking for Nepal Water Supply Corporation,Nepal Water Supply Corporation,6143270.72,6620741.84,NCB,Arun Valley Construction,2/14/2024,6/2/2024,Completed,100,-7.21,6,109,-561383.08,FALSE,FALSE,6704653.8
C-2025-002,Procurement of Furniture for Lalitpur Metropolitan City Office,Lalitpur Metropolitan City Office,5855731.72,6965425.31,NCB,Terai Concrete & Steel,2/24/2024,5/14/2024,Completed,100,-15.93,12,80,-269633.51,FALSE,FALSE,6125365.23
C-2025-003,Irrigation Canal Upgrade for Nepal Water Supply Corporation,Nepal Water Supply Corporation,36966994.29,34911255.19,NCB,Himalayan Builders Pvt. Ltd.,12/11/2023,10/9/2024,Completed,100,5.89,15,303,1032997.75,FALSE,FALSE,35933996.54
C-2025-004,Drainage & Sewer Line Expansion for Department of Local Infrastructure,Department of Local Infrastructure,8469921.96,6716731.63,NCB,Sudur Cement & Hardware,3/10/2025,4/3/2026,Delayed,40.94,26.1,8,389,5517051.94,FALSE,FALSE,2952870.02
C-2025-005,Water Supply Improvement for Bagmati Province Physical Infrastructure Office,Bagmati Province Physical Infrastructure Office,15481952.59,12858126.32,NCB,Gautam Engineering Services,7/5/2024,8/6/2025,Completed,100,20.41,13,397,-1361466.29,TRUE,FALSE,16843418.88
C-2025-006,Training & Capacity Building for Bharatpur Metropolitan City Office,Bharatpur Metropolitan City Office,2496468.5,2069647.82,QCBS,Gandaki GIS & Survey,4/10/2024,7/27/2024,Completed,100,20.62,7,108,81542.06,FALSE,FALSE,2414926.44
C-2025-007,Supply of Smart Cards for Gandaki Province Physical Infrastructure Office,Gandaki Province Physical Infrastructure Office,3702442.19,3869362.21,Direct,Kantipur Traders & Suppliers,3/15/2025,6/17/2025,Completed,100,-4.31,1,94,133429.8,FALSE,FALSE,3569012.39
C-2025-008,Irrigation Canal Upgrade for Bagmati Province Physical Infrastructure Office,Bagmati Province Physical Infrastructure Office,18605653.29,22741194.77,Shopping,Sunrise Meditech Suppliers,2/10/2024,12/30/2024,Delayed,54.66,-18.19,5,324,9616567.37,FALSE,TRUE,8989085.92
C-2025-009,Hospital Building Extension for National Public Procurement Monitoring Office,National Public Procurement Monitoring Office,12832528.7,13154158.47,NCB,Dolakha Telecom Services,2/3/2024,5/6/2025,Completed,100,-2.45,14,458,1508851.39,FALSE,FALSE,11323677.31
C-2025-010,School Building Reconstruction for Agriculture Development Bank (Procurement Unit),Agriculture Development Bank (Procurement Unit),30042293.84,32704521.44,NCB,Shikhar Energy Solutions,3/26/2024,10/12/2024,Completed,100,-8.14,15,200,-308897.78,FALSE,FALSE,30351191.62
C-2025-011,Security Service Contract for Nepal Telecommunications Authority,Nepal Telecommunications Authority,2114868.8,1739643.2,NCB,Shree Ganesh Nirman Sewa,8/18/2023,12/10/2023,Completed,100,21.57,5,114,91342.56,FALSE,FALSE,2023526.24
C-2025-012,Solar Mini-Grid Installation for Department of Electricity Development,Department of Electricity Development,50338126.79,52413778.91,NCB,Nepal Road Maintenance JV,3/14/2024,1/12/2025,In-Progress,10.92,-3.96,12,304,43862376.55,FALSE,FALSE,6475750.24
C-2025-013,GIS Mapping and Survey for Department of Urban Development and Building Construction,Department of Urban Development and Building Construction,2410597.26,2587537.88,QCBS,Narayani Road Builders,4/26/2024,8/30/2024,Completed,100,-6.84,7,126,-149119.48,TRUE,FALSE,2559716.74
C-2025-014,IT System Development for Rastriya Banijya Bank (Procurement Unit),Rastriya Banijya Bank (Procurement Unit),1660039.76,1598443.18,QCBS,Annapurna Developers,4/1/2025,9/14/2025,In-Progress,63.28,3.85,6,166,512399.98,FALSE,FALSE,1147639.78
C-2025-015,Water Supply Improvement for Rastriya Banijya Bank (Procurement Unit),Rastriya Banijya Bank (Procurement Unit),23881260.12,20710779.32,QCBS,Himalayan Builders Pvt. Ltd.,3/5/2025,1/1/2026,In-Progress,25.09,15.31,6,302,16725203.52,FALSE,FALSE,7156056.6
C-2025-016,Hospital Building Extension for National Public Procurement Monitoring Office,National Public Procurement Monitoring Office,25566511.97,28645332.27,NCB,Shree Ganesh Nirman Sewa,9/26/2023,3/1/2025,Completed,100,-10.75,15,522,-554746.31,TRUE,FALSE,26121258.28
C-2025-017,Water Supply Improvement for Agriculture Development Bank (Procurement Unit),Agriculture Development Bank (Procurement Unit),33159418.88,39279466.73,ICB,Gorkha Consulting Engineers,3/28/2024,1/4/2025,Delayed,54.1,-15.58,11,282,12107212.8,FALSE,FALSE,21052206.08
C-2025-018,Road Rehabilitation for Department of Local Infrastructure,Department of Local Infrastructure,43712361.97,44168965.92,Direct,Nepal Security Printers,12/11/2024,3/11/2025,Completed,100,-1.03,1,90,784219.05,FALSE,FALSE,42928142.92
C-2025-019,Supply of Vehicles for Hetauda Sub-Metropolitan City Office,Hetauda Sub-Metropolitan City Office,2436846.99,2372610.18,NCB,Himalayan Builders Pvt. Ltd.,9/11/2023,12/13/2023,Completed,100,2.71,15,93,-52213.72,FALSE,FALSE,2489060.71
C-2025-020,Municipal Office Complex for Gandaki Province Physical Infrastructure Office,Gandaki Province Physical Infrastructure Office,19560795.06,17663021.74,NCB,Himalayan Software Labs,2/5/2024,7/26/2025,Completed,100,10.74,12,537,588886,FALSE,FALSE,18971909.06
C-2025-021,Road Rehabilitation for Ministry of Education,"Ministry of Education, Science and Technology",32516254.66,30449156.54,ICB,Machhapuchhre Suppliers,10/5/2023,1/16/2025,Completed,100,6.79,6,469,-1001372.07,FALSE,FALSE,33517626.73
C-2025-022,Procurement of Electric Poles for Bharatpur Metropolitan City Office,Bharatpur Metropolitan City Office,10684690.66,9784544.24,Shopping,Green Valley Engineering,8/16/2024,11/17/2024,In-Progress,46.81,9.2,5,93,5934560.22,FALSE,FALSE,4750130.44
C-2025-023,Road Rehabilitation for Hetauda Sub-Metropolitan City Office,Hetauda Sub-Metropolitan City Office,31885826.74,32884702.32,NCB,Kantipur Traders & Suppliers,9/26/2024,3/29/2025,Completed,100,-3.04,12,184,-9782.81,FALSE,FALSE,31895609.55
C-2025-024,IT System Development for Hetauda Sub-Metropolitan City Office,Hetauda Sub-Metropolitan City Office,1280912.36,1216255.18,Shopping,Gorkha Consulting Engineers,8/20/2024,12/6/2024,Completed,100,5.32,6,108,26339.24,FALSE,FALSE,1254573.12
C-2025-025,Municipal Office Complex for Nepal Water Supply Corporation,Nepal Water Supply Corporation,24233064.81,25408031.68,Shopping,Hetauda Smart City Consortium,4/18/2024,1/6/2025,Completed,100,-4.62,6,263,-2742483.91,FALSE,FALSE,26975548.72
C-2025-026,Solar Mini-Grid Installation for Pokhara Metropolitan City Office,Pokhara Metropolitan City Office,31156399.84,30878063.83,NCB,Madan Bhandari Construction,1/6/2025,1/21/2026,In-Progress,7.03,0.9,4,380,29015669.55,TRUE,FALSE,2140730.29
